n,d1,d2,d3
1,0.3744,1.1856,0.457091
2,0.3744,1.3832,0.351610
3,0.3744,1.5808,0.297238
4,0.3744,1.7784,0.284827
5,0.3744,1.9760,0.276555
6,0.3744,2.1736,0.244426
7,0.3744,2.3712,0.243550
8,0.3744,2.5688,0.255123
9,0.3744,2.7664,0.265752
10,0.3744,2.9640,0.292603
11,0.4368,1.1856,0.444503
12,0.4368,1.3832,0.352830
13,0.4368,1.5808,0.299795
14,0.4368,1.7784,0.298417
15,0.4368,1.9760,0.264962
16,0.4368,2.1736,0.236262
17,0.4368,2.3712,0.251905
18,0.4368,2.5688,0.257015
19,0.4368,2.7664,0.277169
20,0.4368,2.9640,0.305126
21,0.4992,1.1856,0.438758
22,0.4992,1.3832,0.345700
23,0.4992,1.5808,0.298238
24,0.4992,1.7784,0.299689
25,0.4992,1.9760,0.257962
26,0.4992,2.1736,0.237758
27,0.4992,2.3712,0.253536
28,0.4992,2.5688,0.259781
29,0.4992,2.7664,0.286270
30,0.4992,2.9640,0.310576
31,0.5616,1.1856,0.425862
32,0.5616,1.3832,0.336120
33,0.5616,1.5808,0.300882
34,0.5616,1.7784,0.303328
35,0.5616,1.9760,0.246263
36,0.5616,2.1736,0.244020
37,0.5616,2.3712,0.249514
38,0.5616,2.5688,0.258400
39,0.5616,2.7664,0.291314
40,0.5616,2.9640,0.304926
41,0.6240,1.1856,0.411439
42,0.6240,1.3832,0.330235
43,0.6240,1.5808,0.311918
44,0.6240,1.7784,0.289616
45,0.6240,1.9760,0.230775
46,0.6240,2.1736,0.244457
47,0.6240,2.3712,0.247586
48,0.6240,2.5688,0.262696
49,0.6240,2.7664,0.290958
50,0.6240,2.9640,0.303659
51,0.6864,1.1856,0.383682
52,0.6864,1.3832,0.319254
53,0.6864,1.5808,0.304701
54,0.6864,1.7784,0.256252
55,0.6864,1.9760,0.228210
56,0.6864,2.1736,0.240853
57,0.6864,2.3712,0.242674
58,0.6864,2.5688,0.262196
59,0.6864,2.7664,0.285133
60,0.6864,2.9640,0.305717
61,0.7488,1.1856,0.362587
62,0.7488,1.3832,0.313167
63,0.7488,1.5808,0.302737
64,0.7488,1.7784,0.240609
65,0.7488,1.9760,0.226544
66,0.7488,2.1736,0.231733
67,0.7488,2.3712,0.233243
68,0.7488,2.5688,0.256129
69,0.7488,2.7664,0.273210
70,0.7488,2.9640,0.304681
71,0.8112,1.1856,0.346674
72,0.8112,1.3832,0.319312
73,0.8112,1.5808,0.280558
74,0.8112,1.7784,0.229572
75,0.8112,1.9760,0.224451
76,0.8112,2.1736,0.224953
77,0.8112,2.3712,0.231763
78,0.8112,2.5688,0.249999
79,0.8112,2.7664,0.264714
80,0.8112,2.9640,0.307551
81,0.8736,1.1856,0.344070
82,0.8736,1.3832,0.317972
83,0.8736,1.5808,0.253009
84,0.8736,1.7784,0.222786
85,0.8736,1.9760,0.222935
86,0.8736,2.1736,0.224272
87,0.8736,2.3712,0.229233
88,0.8736,2.5688,0.248075
89,0.8736,2.7664,0.263100
90,0.8736,2.9640,0.306277
91,0.9360,1.1856,0.348097
92,0.9360,1.3832,0.311934
93,0.9360,1.5808,0.248352
94,0.9360,1.7784,0.229360
95,0.9360,1.9760,0.221911
96,0.9360,2.1736,0.216441
97,0.9360,2.3712,0.228649
98,0.9360,2.5688,0.241410
99,0.9360,2.7664,0.267376
100,0.9360,2.9640,0.307738
101,0.9984,1.1856,0.362280
102,0.9984,1.3832,0.313019
103,0.9984,1.5808,0.243573
104,0.9984,1.7784,0.232939
105,0.9984,1.9760,0.221792
106,0.9984,2.1736,0.218359
107,0.9984,2.3712,0.230557
108,0.9984,2.5688,0.237023
109,0.9984,2.7664,0.277766
110,0.9984,2.9640,0.311749
111,1.0608,1.1856,0.372092
112,1.0608,1.3832,0.289650
113,1.0608,1.5808,0.248609
114,1.0608,1.7784,0.238351
115,1.0608,1.9760,0.225477
116,1.0608,2.1736,0.222457
117,1.0608,2.3712,0.231477
118,1.0608,2.5688,0.239952
119,1.0608,2.7664,0.286754
120,1.0608,2.9640,0.321518
121,1.1232,1.1856,0.377905
122,1.1232,1.3832,0.284459
123,1.1232,1.5808,0.255443
124,1.1232,1.7784,0.243820
125,1.1232,1.9760,0.225365
126,1.1232,2.1736,0.227127
127,1.1232,2.3712,0.231953
128,1.1232,2.5688,0.250122
129,1.1232,2.7664,0.285585
130,1.1232,2.9640,0.333948
131,1.1856,1.1856,0.384483
132,1.1856,1.3832,0.292640
133,1.1856,1.5808,0.264915
134,1.1856,1.7784,0.249086
135,1.1856,1.9760,0.231862
136,1.1856,2.1736,0.232316
137,1.1856,2.3712,0.229760
138,1.1856,2.5688,0.262738
139,1.1856,2.7664,0.297028
140,1.1856,2.9640,0.334345
