n,d1,d2,d3
1,0.3744,1.1856,0.270392
2,0.3744,1.3832,0.378256
3,0.3744,1.5808,0.325633
4,0.3744,1.7784,0.306715
5,0.3744,1.9760,0.300555
6,0.3744,2.1736,0.264763
7,0.3744,2.3712,0.250232
8,0.3744,2.5688,0.266445
9,0.3744,2.7664,0.278040
10,0.3744,2.9640,0.300728
11,0.4368,1.1856,0.475100
12,0.4368,1.3832,0.381647
13,0.4368,1.5808,0.325630
14,0.4368,1.7784,0.321707
15,0.4368,1.9760,0.302901
16,0.4368,2.1736,0.254641
17,0.4368,2.3712,0.258082
18,0.4368,2.5688,0.272002
19,0.4368,2.7664,0.288943
20,0.4368,2.9640,0.308196
21,0.4992,1.1856,0.467167
22,0.4992,1.3832,0.376766
23,0.4992,1.5808,0.324119
24,0.4992,1.7784,0.335293
25,0.4992,1.9760,0.286878
26,0.4992,2.1736,0.252951
27,0.4992,2.3712,0.265236
28,0.4992,2.5688,0.270557
29,0.4992,2.7664,0.300367
30,0.4992,2.9640,0.314132
31,0.5616,1.1856,0.451860
32,0.5616,1.3832,0.363013
33,0.5616,1.5808,0.329454
34,0.5616,1.7784,0.333581
35,0.5616,1.9760,0.271124
36,0.5616,2.1736,0.256101
37,0.5616,2.3712,0.261501
38,0.5616,2.5688,0.267711
39,0.5616,2.7664,0.302059
40,0.5616,2.9640,0.311475
41,0.6240,1.1856,0.437984
42,0.6240,1.3832,0.350783
43,0.6240,1.5808,0.333676
44,0.6240,1.7784,0.317328
45,0.6240,1.9760,0.248710
46,0.6240,2.1736,0.256622
47,0.6240,2.3712,0.257413
48,0.6240,2.5688,0.271965
49,0.6240,2.7664,0.293526
50,0.6240,2.9640,0.309499
51,0.6864,1.1856,0.411721
52,0.6864,1.3832,0.340379
53,0.6864,1.5808,0.333164
54,0.6864,1.7784,0.283631
55,0.6864,1.9760,0.239989
56,0.6864,2.1736,0.248852
57,0.6864,2.3712,0.248910
58,0.6864,2.5688,0.266699
59,0.6864,2.7664,0.289018
60,0.6864,2.9640,0.304278
61,0.7488,1.1856,0.388141
62,0.7488,1.3832,0.329370
63,0.7488,1.5808,0.326709
64,0.7488,1.7784,0.263479
65,0.7488,1.9760,0.230723
66,0.7488,2.1736,0.238592
67,0.7488,2.3712,0.238655
68,0.7488,2.5688,0.259015
69,0.7488,2.7664,0.272079
70,0.7488,2.9640,0.298744
71,0.8112,1.1856,0.371413
72,0.8112,1.3832,0.340574
73,0.8112,1.5808,0.312555
74,0.8112,1.7784,0.246528
75,0.8112,1.9760,0.229037
76,0.8112,2.1736,0.229448
77,0.8112,2.3712,0.234519
78,0.8112,2.5688,0.247651
79,0.8112,2.7664,0.268997
80,0.8112,2.9640,0.295297
81,0.8736,1.1856,0.360995
82,0.8736,1.3832,0.339578
83,0.8736,1.5808,0.302764
84,0.8736,1.7784,0.235495
85,0.8736,1.9760,0.227081
86,0.8736,2.1736,0.226901
87,0.8736,2.3712,0.230300
88,0.8736,2.5688,0.243881
89,0.8736,2.7664,0.265157
90,0.8736,2.9640,0.295311
91,0.9360,1.1856,0.364057
92,0.9360,1.3832,0.338944
93,0.9360,1.5808,0.272312
94,0.9360,1.7784,0.234100
95,0.9360,1.9760,0.227624
96,0.9360,2.1736,0.223489
97,0.9360,2.3712,0.226678
98,0.9360,2.5688,0.238207
99,0.9360,2.7664,0.266166
100,0.9360,2.9640,0.292774
101,0.9984,1.1856,0.387093
102,0.9984,1.3832,0.336747
103,0.9984,1.5808,0.265196
104,0.9984,1.7784,0.239342
105,0.9984,1.9760,0.226312
106,0.9984,2.1736,0.226470
107,0.9984,2.3712,0.227831
108,0.9984,2.5688,0.240653
109,0.9984,2.7664,0.272677
110,0.9984,2.9640,0.301813
111,1.0608,1.1856,0.406630
112,1.0608,1.3832,0.346078
113,1.0608,1.5808,0.262518
114,1.0608,1.7784,0.245472
115,1.0608,1.9760,0.232547
116,1.0608,2.1736,0.233898
117,1.0608,2.3712,0.232161
118,1.0608,2.5688,0.240124
119,1.0608,2.7664,0.281669
120,1.0608,2.9640,0.307783
121,1.1232,1.1856,0.417675
122,1.1232,1.3832,0.320129
123,1.1232,1.5808,0.269513
124,1.1232,1.7784,0.250987
125,1.1232,1.9760,0.233970
126,1.1232,2.1736,0.238941
127,1.1232,2.3712,0.234331
128,1.1232,2.5688,0.249687
129,1.1232,2.7664,0.283083
130,1.1232,2.9640,0.322383
131,1.1856,1.1856,0.426797
132,1.1856,1.3832,0.319827
133,1.1856,1.5808,0.275742
134,1.1856,1.7784,0.310794
135,1.1856,1.9760,0.240209
136,1.1856,2.1736,0.243022
137,1.1856,2.3712,0.237650
138,1.1856,2.5688,0.258077
139,1.1856,2.7664,0.291061
140,1.1856,2.9640,0.331215
